 initial abundance for selected isotopes
  586   0.00000E+00  V  78
  587   0.00000E+00  V  79
  588   0.00000E+00  V  80
  589   0.00000E+00  V  81
  590   0.00000E+00  V  82
  591   0.00000E+00  V  83
  592   0.00000E+00  CR 38
  593   0.00000E+00  CR 39
  594   0.00000E+00  CR 40
  595   0.00000E+00  CR 41
  596   0.00000E+00  CR 42
  597   0.00000E+00  CR 43
  598   0.00000E+00  CR 44
  599   0.00000E+00  CR 45
  600   0.00000E+00  CR 46
  601   0.00000E+00  CR 47
  602   0.00000E+00  CR 48
  603   0.00000E+00  CR 49
  604   0.00000E+00  CR 50
  605   0.00000E+00  CR 51
  606   0.00000E+00  CR 52
  607   0.00000E+00  CR 53
  608   0.00000E+00  CR 54
  609   0.00000E+00  CR 55
  610   0.00000E+00  CR 56
  611   0.00000E+00  CR 57
  612   0.00000E+00  CR 58
  613   0.00000E+00  CR 59
  614   0.00000E+00  CR 60
  615   0.00000E+00  CR 61
  616   0.00000E+00  CR 62
  617   0.00000E+00  CR 63
  618   0.00000E+00  CR 64
  619   0.00000E+00  CR 65
  620   0.00000E+00  CR 66
  621   0.00000E+00  CR 67
  622   0.00000E+00  CR 68
  623   0.00000E+00  CR 69
  624   0.00000E+00  CR 70
  625   0.00000E+00  CR 71
  626   0.00000E+00  CR 72
  627   0.00000E+00  CR 73
  628   0.00000E+00  CR 74
  629   0.00000E+00  CR 75
  630   0.00000E+00  CR 76
  631   0.00000E+00  CR 77
  632   0.00000E+00  CR 78
  633   0.00000E+00  CR 79
  634   0.00000E+00  CR 80
  635   0.00000E+00  CR 81
  636   0.00000E+00  CR 82
  637   0.00000E+00  CR 83
  638   0.00000E+00  CR 84
  639   0.00000E+00  CR 85
  640   0.00000E+00  CR 86
  641   0.00000E+00  MN 40
  642   0.00000E+00  MN 41
  643   0.00000E+00  MN 42
  644   0.00000E+00  MN 43
  645   0.00000E+00  MN 44
  646   0.00000E+00  MN 45
  647   0.00000E+00  MN 46
  648   0.00000E+00  MN 47
  649   0.00000E+00  MN 48
  650   0.00000E+00  MN 49
  651   0.00000E+00  MN 50
  652   0.00000E+00  MN 51
  653   0.00000E+00  MN 52
  654   0.00000E+00  MN 53
  655   0.00000E+00  MN 54
  656   0.00000E+00  MN 55
  657   0.00000E+00  MN 56
  658   0.00000E+00  MN 57
  659   0.00000E+00  MN 58
  660   0.00000E+00  MN 59
  661   0.00000E+00  MN 60
  662   0.00000E+00  MN 61
  663   0.00000E+00  MN 62
  664   0.00000E+00  MN 63
  665   0.00000E+00  MN 64
  666   0.00000E+00  MN 65
  667   0.00000E+00  MN 66
  668   0.00000E+00  MN 67
  669   0.00000E+00  MN 68
  670   0.00000E+00  MN 69
  671   0.00000E+00  MN 70
  672   0.00000E+00  MN 71
  673   0.00000E+00  MN 72
  674   0.00000E+00  MN 73
  675   0.00000E+00  MN 74
  676   0.00000E+00  MN 75
  677   0.00000E+00  MN 76
  678   0.00000E+00  MN 77
  679   0.00000E+00  MN 78
  680   0.00000E+00  MN 79
  681   0.00000E+00  MN 80
  682   0.00000E+00  MN 81
  683   0.00000E+00  MN 82
  684   0.00000E+00  MN 83
  685   0.00000E+00  MN 84
  686   0.00000E+00  MN 85
  687   0.00000E+00  MN 86
  688   0.00000E+00  MN 87
  689   0.00000E+00  MN 88
  690   0.00000E+00  MN 89
  691   0.00000E+00  FE 42
  692   0.00000E+00  FE 43
  693   0.00000E+00  FE 44
  694   0.00000E+00  FE 45
  695   0.00000E+00  FE 46
  696   0.00000E+00  FE 47
  697   0.00000E+00  FE 48
  698   0.00000E+00  FE 49
  699   0.00000E+00  FE 50
  700   0.00000E+00  FE 51
  701   0.00000E+00  FE 52
  702   0.00000E+00  FE 53
  703   0.00000E+00  FE 54
  704   0.00000E+00  FE 55
  705   0.00000E+00  FE 57
  706   0.00000E+00  FE 58
  707   0.00000E+00  FE 59
  708   0.00000E+00  FE 60
  709   0.00000E+00  FE 61
  710   0.00000E+00  FE 62
  711   0.00000E+00  FE 63
  712   0.00000E+00  FE 64
  713   0.00000E+00  FE 65
  714   0.00000E+00  FE 66
  715   0.00000E+00  FE 67
  716   0.00000E+00  FE 68
  717   0.00000E+00  FE 69
  718   0.00000E+00  FE 70
  719   0.00000E+00  FE 71
  720   0.00000E+00  FE 72
  721   0.00000E+00  FE 73
  722   0.00000E+00  FE 74
  723   0.00000E+00  FE 75
  724   0.00000E+00  FE 76
  725   0.00000E+00  FE 77
  726   0.00000E+00  FE 78
  727   0.00000E+00  FE 79
  728   0.00000E+00  FE 80
  729   0.00000E+00  FE 81
  730   0.00000E+00  FE 82
  731   0.00000E+00  FE 83
  732   0.00000E+00  FE 84
  733   0.00000E+00  FE 85
  734   0.00000E+00  FE 86
  735   0.00000E+00  FE 87
  736   0.00000E+00  FE 88
  737   0.00000E+00  FE 89
  738   0.00000E+00  FE 90
  739   0.00000E+00  FE 91
  740   0.00000E+00  FE 92
  741   0.00000E+00  CO 44
  742   0.00000E+00  CO 45
  743   0.00000E+00  CO 46
  744   0.00000E+00  CO 47
  745   0.00000E+00  CO 48
  746   0.00000E+00  CO 49
  747   0.00000E+00  CO 50
  748   0.00000E+00  CO 51
  749   0.00000E+00  CO 52
  750   0.00000E+00  CO 53
  751   0.00000E+00  CO 54
  752   0.00000E+00  CO 55
  753   0.00000E+00  CO 56
  754   0.00000E+00  CO 57
  755   0.00000E+00  CO 58
  756   0.00000E+00  CO 59
  757   0.00000E+00  CO 60
  758   0.00000E+00  CO 61
  759   0.00000E+00  CO 62
  760   0.00000E+00  CO 63
  761   0.00000E+00  CO 64
  762   0.00000E+00  CO 65
  763   0.00000E+00  CO 66
  764   0.00000E+00  CO 67
  765   0.00000E+00  CO 68
  766   0.00000E+00  CO 69
  767   0.00000E+00  CO 70
  768   0.00000E+00  CO 71
  769   0.00000E+00  CO 72
  770   0.00000E+00  CO 73
  771   0.00000E+00  CO 74
  772   0.00000E+00  CO 75
  773   0.00000E+00  CO 76
  774   0.00000E+00  CO 77
  775   0.00000E+00  CO 78
  776   0.00000E+00  CO 79
  777   0.00000E+00  CO 80
  778   0.00000E+00  CO 81
  779   0.00000E+00  CO 82
  780   0.00000E+00  CO 83
  781   0.00000E+00  CO 84
  782   0.00000E+00  CO 85
  783   0.00000E+00  CO 86
  784   0.00000E+00  CO 87
  785   0.00000E+00  CO 88
  786   0.00000E+00  CO 89
  787   0.00000E+00  CO 90
  788   0.00000E+00  CO 91
  789   0.00000E+00  CO 92
  790   0.00000E+00  CO 93
  791   0.00000E+00  CO 94
  792   0.00000E+00  CO 95
  793   0.00000E+00  CO 96
  794   0.00000E+00  NI 46
  795   0.00000E+00  NI 47
  796   0.00000E+00  NI 48
  797   0.00000E+00  NI 49
  798   0.00000E+00  NI 50
  799   0.00000E+00  NI 51
  800   0.00000E+00  NI 52
  801   0.00000E+00  NI 53
  802   0.00000E+00  NI 54
  803   0.00000E+00  NI 55
